video_id,video_title,video_url,type_name,cid,video_time,redis_task_id,is_download,add_time
51197296,【盾冬/Evanstan】塞老师和桃总之间的同事情缘,https://www.bilibili.com/video/av51197296,影视|影视剪辑|影视剪辑,89626147,189,,f,2019/6/5
51202311,复联群英读童书！然鹅，读书会秒变成甩锅大会...,https://www.bilibili.com/video/av51202311,影视|影视杂谈|漫威,89634065,229,,f,2019/6/5
51202462,沙漠里出现7根柱子，科学家无知将其炸毁，却不知闯了大祸！,https://www.bilibili.com/video/av51202462,影视|影视杂谈|科幻,89638879,274,,f,2019/6/5
51202842,【港剧·男星】现代群像——承包童年的男人|我喜欢的样子你都有,https://www.bilibili.com/video/av51202842,影视|影视剪辑|影视剪辑,89636084,215,,f,2019/6/5
51213171,科学家把人类缩小20倍后，人人都变了土豪，一颗白菜就能吃一年,https://www.bilibili.com/video/av51213171,影视|影视杂谈|爱情,89658912,269,,f,2019/6/5
51227542,【漫威/1080p/混剪】这不是终局的谢幕，而是崭新的开始，感谢陪伴！,https://www.bilibili.com/video/av51227542,影视|影视剪辑|电视剧,89681069,231,,f,2019/6/5
51234453,深度解析《复联4》穿越原理，原来这些时间线都不是BUG,https://www.bilibili.com/video/av51234453,影视|影视杂谈|漫威,89693719,250,,f,2019/6/5
51268144,复仇者联盟4：复联4中出现了四次响指，有两个是灭霸打的？,https://www.bilibili.com/video/av51268144,影视|影视杂谈|漫威,89750226,122,,f,2019/6/5
51268385,复仇者联盟4：她可以单手完虐灭霸，复联4里打的灭霸无法还手！,https://www.bilibili.com/video/av51268385,影视|影视杂谈|漫威,89750642,123,,f,2019/6/5
51268609,复仇者联盟4：钢铁侠一个响指拯救世界，漫威终局延续传奇！,https://www.bilibili.com/video/av51268609,影视|影视杂谈|漫威,89751031,132,,f,2019/6/5
51281198,【锤基/高虐】我爱你，是多么清楚多么坚固的信仰,https://www.bilibili.com/video/av51281198,影视|影视剪辑|影视剪辑,89743133,168,,f,2019/6/5
51288306,前方高帅！让全世界都来感受钢铁侠的魅力吧！爱你三千遍！,https://www.bilibili.com/video/av51288306,影视|影视剪辑|影视剪辑,89781930,170,,f,2019/6/5
51294692,【周杰伦】高虐哭戏混剪|假欢畅 又何妨无人共享 都进来哭！,https://www.bilibili.com/video/av51294692,影视|影视剪辑|经典,89784741,298,,f,2019/6/5
51299098,【慎入！】看完我可以一挑五,https://www.bilibili.com/video/av51299098,影视|影视剪辑|经典,89800837,133,,f,2019/6/5
51304879,【钢铁侠/燃向/催泪】托尼，你终于可以休息了 I love you three thousand ?,https://www.bilibili.com/video/av51304879,影视|影视剪辑|影视剪辑,89808489,172,,f,2019/6/5
51306683,【银河护卫队】小浣熊的外号合集,https://www.bilibili.com/video/av51306683,影视|影视杂谈|漫威,89814466,240,,f,2019/6/5
51368520,【哥谭企鹅人混剪】我所向披靡，势不可挡！(Man on a Mission),https://www.bilibili.com/video/av51368520,影视|影视剪辑|电视剧,89917111,210,,f,2019/6/5
51395478,【夏/青春/小清新·】宛如夏风,https://www.bilibili.com/video/av51395478,影视|影视剪辑|编辑推荐,90052068,210,,f,2019/6/5
51399237,男人的浪漫，我爱死这些钢铁怪物了!机甲电影燃剪辑。,https://www.bilibili.com/video/av51399237,影视|影视剪辑|经典,89969078,202,,f,2019/6/5
51484124,【一代神颜·张柏芝】精致脸庞|粉雕玉琢|佳人难再得,https://www.bilibili.com/video/av51484124,影视|影视剪辑|编辑推荐,90102728,221,,f,2019/6/5
51490153,【毒液恶搞】这是你从见过的毒液,https://www.bilibili.com/video/av51490153,影视|影视剪辑|影视剪辑,90125725,212,,f,2019/6/5
51494115,【谁语】这部怪兽片上映后，才有了《哥斯拉》系列,https://www.bilibili.com/video/av51494115,影视|影视杂谈|科幻,90131091,271,,f,2019/6/5
51507263,【全站最全】奇异博士手指到底啥意思？,https://www.bilibili.com/video/av51507263,影视|影视杂谈|漫威,90158585,176,,f,2019/6/5
51508724,女孩发现自己怎么也死不了，于是每天花样作死，把清洁剂当饮料喝,https://www.bilibili.com/video/av51508724,影视|影视杂谈|爱情,90155750,207,,f,2019/6/5
51514131,小男孩在海边捡到一个罐子，还打开了它，这下可闯祸了呀！,https://www.bilibili.com/video/av51514131,影视|影视杂谈|科幻,90168200,241,,f,2019/6/5
51515004,【钢铁侠】失败是迷雾，穿过它，我们就可以瞥见光明,https://www.bilibili.com/video/av51515004,影视|影视剪辑|经典,90170220,213,,f,2019/6/5
51515506,地球毁灭之后  人类居无定所  只能依靠巨大的地下洞穴维持生活,https://www.bilibili.com/video/av51515506,影视|影视杂谈|科幻,90170949,238,,f,2019/6/5
51519129,小轩窗正梳妆  古装美人饰品混剪  珠翠绫罗   浓妆淡抹  粉黛留情    一颦一笑如梦似幻,https://www.bilibili.com/video/av51519129,影视|影视剪辑|古装,90172948,293,,f,2019/6/5
51532467,【刘亦菲】白秀珠个人向 | 记·十四芳华 | 赠：末末尾,https://www.bilibili.com/video/av51532467,影视|影视剪辑|影视剪辑,90513665,197,,f,2019/6/5
51535087,笑死不偿命，当所有英雄遇上星爵的bgm,https://www.bilibili.com/video/av51535087,影视|影视杂谈|漫威,90206142,165,,f,2019/6/5
51535153,男子打了喷嚏 不料直接变成了一堆白骨,https://www.bilibili.com/video/av51535153,影视|影视杂谈|电影,90207459,110,,f,2019/6/5
51541426,【1080/黑寡妇/个人混剪】没有过去，没有未来。没有善始，不得善终。 娜塔莎·罗曼诺夫！,https://www.bilibili.com/video/av51541426,影视|影视剪辑|影视剪辑,90214298,227,,f,2019/6/5
51561117,《复联4》雷神穿越后无视洛基，这么安排有两个好处,https://www.bilibili.com/video/av51561117,影视|影视杂谈|漫威,90251774,110,,f,2019/6/5
51575249,【吴磊x贾玲】苏幕遮 | 多情自是多沾惹 | 性感玲儿在线收拾花心大猪蹄子,https://www.bilibili.com/video/av51575249,影视|影视剪辑|影视剪辑,90275023,155,,f,2019/6/5
